Player,First Season,Most Recent Season,Height,Birthplace,All Star Selections,HallofFame,League Status,G,GS,MP,TRB,AST,STL,BLK,PTS,FG%,eFG%,FT%,TS%,3P%
Will Perdue,1989,2001,7-0,Melbourne,0,No,Inactive,792,223,12360,3918,595,226,527,3740,0.515,0.516,0.577,0.537,0.067
Johan Petro,2006,2013,7-0,Paris,0,No,Inactive,473,139,7262,1836,227,193,234,2202,0.462,0.462,0.678,0.484,0.154
Marshall Plumlee,2017,2018,7-0,West Lafayette,0,No,Inactive,29,1,222,68,12,4,5,54,0.515,0.515,0.571,0.558,
Jakob Pöltl,2017,2019,7-0,Vienna,0,No,Active,199,17,3146,881,149,76,166,1070,0.641,0.642,0.568,0.642,0.5
Miroslav Raduljica,2014,2015,7-0,Belgrade,0,No,Inactive,53,2,488,113,23,8,13,189,0.53,0.53,0.825,0.594,
Blair Rasmussen,1986,1993,7-0,Auburn,0,No,Inactive,532,282,11409,3006,467,210,484,5119,0.472,0.473,0.767,0.5,0.257
Željko Rebrača,2002,2006,7-0,Apatin,0,No,Inactive,215,22,3280,688,88,57,160,1276,0.527,0.527,0.792,0.584,
Bryant Reeves,1996,2001,7-0,Fort Smith,0,No,Inactive,395,341,12071,2745,623,200,302,4945,0.475,0.475,0.703,0.515,0.074
Eric Riley,1994,1999,7-0,Cleveland,0,No,Inactive,186,41,1844,479,60,54,132,574,0.456,0.456,0.704,0.509,0
Stanley Roberts,1992,2000,7-0,Hopkins,0,No,Inactive,300,178,5869,1549,189,110,385,2555,0.499,0.499,0.514,0.511,0
Robert Sacre,2013,2016,7-0,Baton Rouge,0,No,Inactive,189,35,2745,593,126,56,110,787,0.436,0.436,0.671,0.475,0
Kevin Salvadori,1997,1998,7-0,Wheeling,0,No,Inactive,39,0,241,45,13,2,24,42,0.283,0.283,0.667,0.371,
Soumaila Samake,2001,2003,7-0,Bougouni,0,No,Inactive,47,1,303,76,5,2,19,68,0.389,0.389,0.462,0.407,
Brad Sellers,1987,1993,7-0,Warrensville Heights,0,No,Inactive,398,123,7154,1064,435,137,246,2509,0.452,0.454,0.793,0.498,0.2
Elmore Smith,1972,1979,7-0,Macon,0,No,Inactive,562,,17879,5962,808,325,1183,7541,0.482,0.482,0.579,0.503,
Jason Smith,2008,2019,7-0,Greeley,0,No,Active,615,104,10015,2074,452,208,408,3769,0.468,0.48,0.783,0.515,0.331
Mike Smrek,1986,1992,7-0,Welland,0,No,Inactive,194,31,1890,422,49,37,150,554,0.431,0.431,0.617,0.475,0
Elmore Spencer,1993,1997,7-0,Atlanta,0,No,Inactive,157,75,2641,555,109,53,170,923,0.516,0.516,0.58,0.534,0
Felton Spencer,1991,2002,7-0,Louisville,0,No,Inactive,640,404,12298,3436,213,248,534,3354,0.484,0.484,0.658,0.539,0
Vladimir Stepania,1999,2004,7-0,Tbilisi,0,No,Inactive,270,19,3726,1180,94,110,144,1118,0.425,0.426,0.536,0.451,0.133
Ed Stokes,1998,1998,7-0,Syracuse,0,No,Inactive,4,0,17,4,1,1,2,3,0.333,0.333,0.5,0.387,
Robert Swift,2005,2009,7-0,Bakersfield,0,No,Inactive,97,34,1500,376,20,26,86,416,0.506,0.506,0.61,0.531,
Žan Tabak,1995,2001,7-0,Split,0,No,Inactive,247,70,3607,883,165,65,126,1233,0.506,0.506,0.525,0.516,0
Mike Tobey,2017,2017,7-0,Monroe,0,No,Inactive,2,0,25,3,1,0,0,2,0.25,0.25,,0.25,
Karl-Anthony Towns,2016,2019,7-0,Edison,2,No,Active,311,311,10734,3672,791,236,468,6906,0.539,0.577,0.837,0.621,0.392
Nikoloz Tskitishvili,2003,2006,7-0,Tbilisi,0,No,Inactive,172,16,1946,307,114,46,50,507,0.304,0.338,0.73,0.375,0.235
Jonas Valančiūnas,2013,2019,7-0,Utena,0,No,Active,481,453,12050,4049,372,181,494,5717,0.56,0.565,0.787,0.612,0.364
Brett Vroman,1981,1981,7-0,Hollywood,0,No,Inactive,11,,93,25,9,5,5,34,0.37,0.37,0.737,0.481,0
Nikola Vučević,2012,2019,7-0,Morges,1,No,Active,524,463,15727,5295,1270,448,500,8150,0.502,0.514,0.736,0.534,0.336
Chris Welp,1988,1990,7-0,Delmenhorst,0,No,Inactive,109,3,1173,265,43,34,54,359,0.446,0.446,0.681,0.492,0
Thomas Welsh,2019,2019,7-0,Torrance,0,No,Inactive,11,0,36,4,5,0,0,18,0.538,0.654,0.5,0.648,0.429
Bill Wennington,1986,2000,7-0,Montreal,0,No,Inactive,720,88,9740,2148,440,226,248,3301,0.459,0.46,0.787,0.499,0.139
Hassan Whiteside,2011,2019,7-0,Gastonia,0,No,Active,329,259,8697,3793,198,208,778,4436,0.571,0.572,0.595,0.587,0.222
Kevin Willis,1985,2007,7-0,Los Angeles,1,No,Inactive,1424,891,38362,11901,1328,958,750,17253,0.487,0.488,0.713,0.525,0.211
Trevor Winter,1999,1999,7-0,Slayton,0,No,Inactive,1,0,5,3,0,0,0,0,,,,,
Jeff Withey,2014,2018,7-0,San Diego,0,No,Inactive,206,15,2072,518,64,56,156,666,0.525,0.527,0.716,0.578,0.143
Luke Witte,1974,1976,7-0,Philadelphia,0,No,Inactive,118,,1098,357,60,13,45,372,0.402,0.402,0.685,0.444,
Tim Young,2000,2000,7-0,Santa Cruz,0,No,Inactive,25,0,137,35,5,2,1,54,0.333,0.333,0.778,0.492,
Cody Zeller,2014,2019,7-0,Washington,0,No,Active,361,213,8272,2085,495,245,273,2969,0.511,0.513,0.74,0.57,0.263
Tyler Zeller,2013,2019,7-0,Visalia,0,No,Active,408,165,7168,1798,364,103,238,2825,0.508,0.51,0.764,0.553,0.286
Wang Zhizhi,2001,2005,7-0,Beijing,0,No,Inactive,137,1,1256,231,39,25,35,604,0.417,0.485,0.735,0.525,0.385
George Zidek,1996,1998,7-0,Zlín,0,No,Inactive,135,23,1328,286,32,14,12,453,0.408,0.409,0.783,0.484,0.25
Stephen Zimmerman,2017,2017,7-0,Hendersonville,0,No,Inactive,19,0,108,35,4,2,5,23,0.323,0.323,0.6,0.346,
